Localidade;Microrregiões Geográficas;Mesorregiões Geográficas;Porte;População 2015;População 2016;População 2017;População 2018;PIB 2015;PIB 2016;PIB 2017;PIB 2018;Desp. Saúde 2015;Desp. Saúde 2016;Desp. Saúde 2017;Desp. Saúde 2018;IEGM 2015;IEGM 2016;IEGM 2017;IEGM 2018;IDM 2014;IDM 2016;IDM 2018;IDM 2020
Aparecida do Rio Doce;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;2510;2514;2517;2474;27.691,13;29.396,37;34.970,00;30.113,00;2.882.851,81;3.235.520,67;3.882.355,95;4.144.152,29;-;B;A;B+;6,42;7,35;7,62;7,62
Aporé;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;4077;4110;4143;4163;57.440,98;73.609,20;74.997,00;76.880,00;4.937.635,94;5.413.968,56;4.865.312,3;6.818.042,33;B;C+;B+;B+;8,42;8,61;7,70;8,02
Araçu;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;3776;3753;3731;3560;12.532,88;13.826,10;13.280,00;15.008,00;3.321.971,23;4.294.940,46;4.039.187,02;4.686.885,91;B;B+;B+;B;8,22;8,28;8,01;7,12
Aragarças;MRG ARAGARÇAS;NOROESTE GOIANO;pequeno porte I;19583;19736;19884;19959;10.880,91;10.897,66;11.916,00;12.267,00;9.905.785,89;11.717.736,79;10.231.282,67;11.882.715,33;B+;C;B;B;7,45;7,80;7,70;8,16
Aragoiânia;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte I;9444;9607;9765;10116;10.455,05;10.318,54;10.799,00;10.709,00;4.701.549,05;5.519.311,61;5.044.957,29;6.665.873,75;-;B;B;B;7,50;7,44;8,07;7,36
Araguapaz;MRG RIO VERMELHO;NOROESTE GOIANO;pequeno porte I;7818;7841;7862;7756;14.825,66;14.622,77;15.169,00;15.546,00;5.773.630,78;5.712.257,38;4.935.118,51;6.333.347,36;A;A;B+;A;7,46;7,51;7,87;7,17
Arenópolis;MRG ARAGARÇAS;NOROESTE GOIANO;pequeno porte I;3066;3011;2957;2689;30.832,57;30.767,47;42.371,00;52.960,00;3.047.822,64;3.997.020,35;3.961.317,13;3.783.562,27;-;C+;C+;-;9,00;9,28;8,72;8,64
Aruanã;MRG RIO VERMELHO;NOROESTE GOIANO;pequeno porte I;8746;8945;9138;9635;18.310,36;18.184,90;22.869,00;22.991,00;6.604.164,52;6.837.352,00;5.903.574,4;6.766.534,05;B+;B+;A;A;7,94;7,39;6,80;6,65
Aurilândia;MRG ANICUNS;CENTRO GOIANO;pequeno porte I;3508;3465;3422;3184;15.613,58;16.113,79;16.805,00;17.869,00;2.530.985,07;3.475.972,28;3.782.274,68;3.457.793,37;B+;B+;A;-;6,73;7,41;7,42;6,80
Avelinópolis;MRG ANICUNS;CENTRO GOIANO;pequeno porte I;2499;2496;2494;2425;19.142,59;18.425,35;18.905,00;18.325,00;2.694.143,01;3.575.100,84;2.684.767,49;2.810.434,52;A;B;B+;B+;8,76;9,18;8,70;8,79
Baliza;MRG ARAGARÇAS;NOROESTE GOIANO;pequeno porte I;4443;4562;4677;4992;14.676,98;15.828,43;14.978,00;15.566,00;3.382.894,68;3.055.068,80;3.456.887,73;3.949.046,42;B;B;B+;B;5,59;5,37;5,55;7,11
Barro Alto;MRG CERES;CENTRO GOIANO;pequeno porte I;10031;10235;10435;10922;60.320,14;77.671,72;78.477,00;84.166,00;9.299.172,14;8.761.570,03;9.851.116,36;11.312.897,48;B+;B;B+;B;7,92;7,76;7,84;7,24
Bela Vista de Goiás;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte II;27628;28077;28514;29448;30.235,47;28.950,93;33.476,00;32.976,00;17.842.321,00;21.040.761,26;19.150.134,97;21.810.073,52;B+;B;B+;B+;8,26;7,46;7,93;7,09
Bom Jardim de Goiás;MRG ARAGARÇAS;NOROESTE GOIANO;pequeno porte I;8826;8862;8896;8813;15.517,66;16.231,26;17.324,00;19.075,00;4.523.249,97;4.655.155,02;4.695.781,97;5.091.756,82;B+;B+;A;B+;7,65;8,41;7,67;8,07
Bom Jesus de Goiás;MRG MEIA PONTE;SUL GOIANO;pequeno porte II;23257;23632;23998;24776;26.521,22;32.368,53;33.369,00;30.150,00;12.697.727,38;14.327.278,99;14.551.872,43;12.053.071,8;B;B;B;B;6,66;6,84;7,32;7,73
Bonfinópolis;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte I;8694;8876;9052;9488;8.079,09;8.096,93;9.737,00;9.178,00;3.176.838,48;3.515.691,94;4.364.404,56;5.388.128,03;C+;B;A;A;8,22;7,18;7,34;6,98
Bonópolis;MRG PORANGATU;NORTE GOIANO;pequeno porte I;3994;4069;4143;4316;21.858,72;22.457,55;23.199,00;22.149,00;2.736.147,78;3.646.670,61;3.154.652,65;3.213.392,02;B+;B+;A;B+;6,99;7,59;7,83;7,29
